Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
float,standard,2,1000000,100,0.968891,0.00810546875,0.095556640625,2.288284006172179,2.288285569394938,5.297776486591811,5.297783790119211,inf,inf,1.4484396352495295,1.4484398943776249,-inf,-inf,[ 2.4787095  -0.17464629],"[2.478710889816284, -0.17464679479599]","[0.75, 0.75]"
float,kahan,2,1000000,100,1.225533,0.007939453125,0.093115234375,2.288285693326205,2.288285569394938,5.2977843691382445,5.297783790119211,inf,inf,1.4484399149211187,1.4484398943776249,-inf,-inf,[ 2.478711  -0.1746468],"[2.478710889816284, -0.17464679479599]","[0.75, 0.75]"
bfloat,standard,2,1000000,100,4.232322,0.00794921875,0.084345703125,10.748001030950002,2.2067837814757802,119.0425415145094,4.923888264130276,inf,inf,1.8440986726050963,1.4345895660076402,-inf,-inf,[10. 10.],"[2.40625, -0.15234375]","[0.75, 0.75]"
bfloat,kahan,2,1000000,100,5.182689,0.007998046875,0.0878125,2.2243583025652334,2.2067837814757802,5.003347544620228,4.923888264130276,inf,inf,1.4376348292836616,1.4345895660076402,-inf,-inf,[ 2.421875   -0.16015625],"[2.40625, -0.15234375]","[0.75, 0.75]"
double,standard,2,2500000,100,1.320813,0.0139453125,0.127509765625,2.2877272245154345,2.2877272245154003,5.2951664212153995,5.295166421215245,inf,inf,1.4482414537711854,1.4482414537711805,-inf,-inf,[ 2.47811676 -0.17456045],"[2.4781167611264237, -0.174560454212905]","[0.75, 0.75]"
double,kahan,2,2500000,100,1.527634,0.013994140625,0.126318359375,2.2877272245154003,2.2877272245154003,5.295166421215245,5.295166421215245,inf,inf,1.4482414537711805,1.4482414537711805,-inf,-inf,[ 2.47811676 -0.17456045],"[2.4781167611264237, -0.174560454212905]","[0.75, 0.75]"
float,standard,2,2500000,100,1.359261,0.013203125,0.112587890625,2.2877342424081824,2.287727480995185,5.295199201323197,5.2951676192133705,inf,inf,1.4482426176118364,1.4482414963056307,-inf,-inf,[ 2.478123   -0.17456391],"[2.478116989135742, -0.1745605319738388]","[0.75, 0.75]"
float,kahan,2,2500000,100,1.566447,0.013173828125,0.112880859375,2.2877274932160154,2.287727480995185,5.295167676295957,5.2951676192133705,inf,inf,1.4482414983323242,1.4482414963056307,-inf,-inf,[ 2.478117   -0.17456053],"[2.478116989135742, -0.1745605319738388]","[0.75, 0.75]"
bfloat,standard,2,2500000,100,5.761176,0.012158203125,0.102890625,10.748833134299995,2.224462815546094,119.06051188715605,5.0038138101585545,inf,inf,1.8440708265053338,1.4375458014603582,-inf,-inf,[10. 10.],"[2.421875, -0.16015625]","[0.75, 0.75]"
bfloat,kahan,2,2500000,100,6.884302,0.01205078125,0.102763671875,2.0662786240640627,2.224462815546094,4.311653789951673,5.0038138101585545,inf,inf,1.4088899687861554,1.4375458014603582,-inf,-inf,[ 2.28125    -0.09082031],"[2.421875, -0.16015625]","[0.75, 0.75]"
