Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
float,standard,3,10000000,100,2.851837,0.02056640625,0.50869140625,4.233958069928806,4.233958034607685,19.407290138880693,19.407289873019057,inf,inf,1.6250948683948707,1.6250948648569365,-inf,-inf,[ 2.367875    2.36635404 -0.96056912],"[2.367875099182129, 2.366353988647461, -0.9605690836906433]","[0.75, 0.75, 0.75]"
float8,standard,4,10000000,100,3.415078,0.02142578125,0.585908203125,5.997741687904001,5.997741687904,38.620903209990516,38.62090320999046,inf,inf,1.7141317514660828,1.7141317514660828,-inf,-inf,[ 2.2605072   2.26000654  2.26012652 -1.62600969],"[2.2605071956324134, 2.2600065447829487, 2.2601265226172482, -1.6260096888699092]","[0.75, 0.75, 0.75, 0.75]"
float,standard,4,10000000,100,3.440473,0.02142578125,0.587294921875,5.997741687904001,5.997742040499892,38.620903209990516,38.62090747638643,inf,inf,1.7141317514660828,1.7141317680451202,-inf,-inf,[ 2.2605072   2.26000654  2.26012652 -1.62600969],"[2.260507106781006, 2.2600061893463135, 2.260126829147339, -1.6260095834732056]","[0.75, 0.75, 0.75, 0.75]"
float8,standard,5,10000000,100,4.190509,0.0223046875,0.66626953125,7.600750595068264,7.600750595068261,61.376339050090955,61.376339050090934,inf,inf,1.766197152573024,1.766197152573024,-inf,-inf,[ 2.16124146  2.15954088  2.16031298  2.16026398 -2.19036431],"[2.161241462560837, 2.159540882189363, 2.1603129812680204, 2.1602639834581985, -2.190364308139877]","[0.75, 0.75, 0.75, 0.75, 0.75]"
float,standard,5,10000000,100,4.221659,0.0223046875,0.664697265625,7.600750595068264,7.600750183556388,61.376339050090955,61.37633223330303,inf,inf,1.766197152573024,1.7661971427563974,-inf,-inf,[ 2.16124146  2.15954088  2.16031298  2.16026398 -2.19036431],"[2.161240577697754, 2.1595406532287598, 2.160313129425049, 2.160264015197754, -2.190363883972168]","[0.75, 0.75, 0.75, 0.75, 0.75]"
float8,standard,6,10000000,100,4.806338,0.023203125,0.74296875,9.068575814217795,9.06857581421779,86.63467054586879,86.63467054586854,inf,inf,1.799973507082434,1.799973507082434,-inf,-inf,[ 2.06869473  2.07020991  2.06984904  2.06968879  2.06868954 -2.67244457],"[2.068694727959378, 2.070209905190316, 2.06984903557139, 2.0696887851872168, 2.0686895402791965, -2.6724445682462106]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float,standard,6,10000000,100,4.815306,0.02318359375,0.74349609375,9.068575814217795,9.068574882097206,86.63467054586872,86.63465307199127,inf,inf,1.799973507082434,1.7999734876932663,-inf,-inf,[ 2.06869473  2.07020991  2.06984904  2.06968879  2.06868954 -2.67244457],"[2.068695068359375, 2.0702102184295654, 2.0698487758636475, 2.0696887969970703, 2.0686891078948975, -2.6724443435668945]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float8,standard,7,10000000,100,5.623451,0.02404296875,0.821796875,10.433235699285603,10.433235699285593,113.9137126795101,113.91371267950993,inf,inf,1.823809640563538,1.823809640563538,-inf,-inf,"[ 1.9859657   1.98728201  1.98855508  1.98802231  1.98779961  1.98835111
 -3.08835657]","[1.9859657032777522, 1.9872820088124992, 1.9885550827954381, 1.9880223095338674, 1.9877996136087652, 1.9883511085138807, -3.0883565659838443]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float,standard,7,10000000,100,5.623835,0.02408203125,0.821416015625,10.433235699285603,10.433236157851095,113.9137126795101,113.91372278260036,inf,inf,1.823809640563538,1.8238096471998437,-inf,-inf,"[ 1.9859657   1.98728201  1.98855508  1.98802231  1.98779961  1.98835111
 -3.08835657]","[1.9859662055969238, 1.9872820377349854, 1.9885543584823608, 1.9880235195159912, 1.9877995252609253, 1.9883511066436768, -3.0883569717407227]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float8,standard,8,10000000,100,6.161392,0.025009765625,0.910625,11.707438333418407,11.707438333418425,142.69295747991265,142.69295747991308,inf,inf,1.8416181183429692,1.8416181183429692,-inf,-inf,"[ 1.91505477  1.91353708  1.91536254  1.91409413  1.9151431   1.913739
  1.91520227 -3.45086372]","[1.915054772885462, 1.9135370802300828, 1.9153625392499345, 1.914094126359397, 1.9151430975885473, 1.9137389982093775, 1.9152022666691555, -3.4508637164770795]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float,standard,8,10000000,100,6.245421,0.0249609375,0.9091015625,11.707438333418436,11.707435342783418,142.69295747991336,142.6928848394055,inf,inf,1.8416181183429692,1.8416180812279108,-inf,-inf,"[ 1.91505477  1.91353708  1.91536254  1.91409413  1.9151431   1.913739
  1.91520227 -3.45086372]","[1.9150543212890625, 1.9135364294052124, 1.9153625965118408, 1.914094090461731, 1.9151428937911987, 1.9137383699417114, 1.9152016639709473, -3.450862407684326]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
