Type,Aggregation,Parameters,Points,Iterations,Execution,Heap,RSS,Database-MAE,Tensorflow-MAE,Database-MSE,Tensorflow-MSE,Database-MAPE,Tensorflow-MAPE,Database-sMAPE,Tensorflow-sMAPE,Database-MPE,Tensorflow-MPE,Database,Tensorflow,Truth
float8,standard,2,10000000,100,209.112061,0.00740234375,0.0355078125,2.288033814679839,2.2880338146797867,5.296535750324429,5.296535750324201,inf,inf,1.448075026078362,1.4480750260783537,-inf,-inf,[ 2.47823731 -0.17493404],"[2.478237311485001, -0.17493403873524366]","[0.75, 0.75]"
float4,standard,2,10000000,100,204.882657,0.007568359375,0.03640625,2.288033914260462,2.2880344400420984,5.2965362155117806,5.296538671682272,inf,inf,1.4480750425944307,1.4480751297985983,-inf,-inf,[ 2.4782374  -0.17493403],"[2.4782378673553467, -0.1749342679977417]","[0.75, 0.75]"
float8,standard,2,25000000,100,526.618492,0.00740234375,0.03625,2.2883061464088126,2.2883061464088867,5.2977974578174045,5.2977974578177385,inf,inf,1.4481123111337402,1.448112311133752,-inf,-inf,[ 2.47848159 -0.17504831],"[2.4784815925108052, -0.17504831037342208]","[0.75, 0.75]"
float4,standard,2,25000000,100,503.854314,0.007568359375,0.036923828125,2.288306042333077,2.288306077369556,5.297796971574219,5.297797135265084,inf,inf,1.4481122938746276,1.4481122996848028,-inf,-inf,[ 2.4784815  -0.17504829],"[2.4784815311431885, -0.17504841089248657]","[0.75, 0.75]"
float8,standard,2,50000000,100,1043.533576,0.00734375,0.036083984375,2.2880736042613328,2.288073604257625,5.296719950049796,5.296719950032457,inf,inf,1.4480807718871445,1.4480807718865398,-inf,-inf,[ 2.47827259 -0.17495139],"[2.478272591769401, -0.17495138613659367]","[0.75, 0.75]"
float4,standard,2,50000000,100,1033.088745,0.007568359375,0.035830078125,2.2880733885142233,2.2880736995446846,5.296718942177618,5.296720395170163,inf,inf,1.4480807361049564,1.448080787690123,-inf,-inf,[ 2.4782724  -0.17495133],"[2.4782726764678955, -0.1749514490365982]","[0.75, 0.75]"
float8,standard,2,75000000,100,1591.145862,0.00740234375,0.03681640625,2.2882300926489187,2.288230092651982,5.297449561435457,5.297449561449721,inf,inf,1.448122923815128,1.448122923815636,-inf,-inf,[ 2.47842694 -0.17499489],"[2.478426937568478, -0.17499489148922678]","[0.75, 0.75]"
float4,standard,2,75000000,100,1531.962304,0.007568359375,0.03703125,2.2882306128873555,2.2882298196162347,5.297451991920188,5.297448285863245,inf,inf,1.448123010088255,1.4481228785370586,-inf,-inf,[ 2.4784274  -0.17499512],"[2.478426694869995, -0.17499476671218872]","[0.75, 0.75]"
float8,standard,2,100000000,100,2090.457449,0.00740234375,0.03623046875,2.288272313188018,2.2882723131921754,5.297647806600729,5.297647806620154,inf,inf,1.4481405040532365,1.4481405040539252,-inf,-inf,[ 2.47847279 -0.17499996],"[2.4784727878082817, -0.1749999585593331]","[0.75, 0.75]"
float4,standard,2,100000000,100,2049.919949,0.007568359375,0.037001953125,2.2882730019027444,2.288273029927953,5.297651024245788,5.297651155178456,inf,inf,1.4481406182609853,1.44814062290833,-inf,-inf,[ 2.4784734  -0.17500024],"[2.478473424911499, -0.17500023543834686]","[0.75, 0.75]"
float8,standard,3,10000000,100,277.106102,0.0073046875,0.0355078125,4.23395806992883,4.233958069928808,19.407290138880896,19.407290138880715,inf,inf,1.6250948683948714,1.6250948683948707,-inf,-inf,[ 2.367875    2.36635404 -0.96056912],"[2.36787500089885, 2.3663540449615015, -0.9605691219215458]","[0.75, 0.75, 0.75]"
float4,standard,3,10000000,100,271.764523,0.00740234375,0.036796875,4.233958302108369,4.233958034607685,19.407292491090164,19.407289873019057,inf,inf,1.6250948800939937,1.6250948648569365,-inf,-inf,[ 2.3678756  2.366354  -0.9605693],"[2.367875099182129, 2.366353988647461, -0.9605690836906433]","[0.75, 0.75, 0.75]"
float8,standard,4,10000000,100,407.778195,0.007548828125,0.03642578125,5.9977416879043215,5.997741687904,38.620903209994545,38.62090320999046,inf,inf,1.7141317514660954,1.7141317514660828,-inf,-inf,[ 2.2605072   2.26000654  2.26012652 -1.62600969],"[2.2605071956324134, 2.2600065447829487, 2.2601265226172482, -1.6260096888699092]","[0.75, 0.75, 0.75, 0.75]"
float4,standard,4,10000000,100,345.263973,0.007724609375,0.03671875,5.997741937788504,5.997742040499892,38.62090614958088,38.62090747638643,inf,inf,1.7141317640426441,1.7141317680451202,-inf,-inf,[ 2.260507   2.2600062  2.2601268 -1.6260096],"[2.260507106781006, 2.2600061893463135, 2.260126829147339, -1.6260095834732056]","[0.75, 0.75, 0.75, 0.75]"
float8,standard,5,10000000,100,583.152757,0.002939453125,0.033125,7.6007505950684875,7.600750595068261,61.37633905009445,61.376339050090934,inf,inf,1.7661971525730293,1.766197152573024,-inf,-inf,[ 2.16124146  2.15954088  2.16031298  2.16026398 -2.19036431],"[2.161241462560837, 2.159540882189363, 2.1603129812680204, 2.1602639834581985, -2.190364308139877]","[0.75, 0.75, 0.75, 0.75, 0.75]"
float4,standard,5,10000000,100,492.688384,0.007626953125,0.036455078125,7.600750169187112,7.600750183556388,61.376332017129066,61.37633223330303,inf,inf,1.7661971422830656,1.7661971427563974,-inf,-inf,[ 2.1612406  2.1595407  2.1603131  2.160264  -2.190364 ],"[2.161240577697754, 2.1595406532287598, 2.160313129425049, 2.160264015197754, -2.190363883972168]","[0.75, 0.75, 0.75, 0.75, 0.75]"
float8,standard,6,10000000,100,777.896604,0.002958984375,0.032509765625,9.068575814217699,9.06857581421779,86.63467054586698,86.63467054586854,inf,inf,1.7999735070824319,1.799973507082434,-inf,-inf,[ 2.06869473  2.07020991  2.06984904  2.06968879  2.06868954 -2.67244457],"[2.068694727959378, 2.070209905190316, 2.06984903557139, 2.0696887851872168, 2.0686895402791965, -2.6724445682462106]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float4,standard,6,10000000,100,659.853338,0.007578125,0.036630859375,9.068574619065663,9.068574882097206,86.63464812301488,86.63465307199127,inf,inf,1.7999734822961964,1.7999734876932663,-inf,-inf,[ 2.0686948  2.0702105  2.0698488  2.0696888  2.068689  -2.6724443],"[2.068695068359375, 2.0702102184295654, 2.0698487758636475, 2.0696887969970703, 2.0686891078948975, -2.6724443435668945]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float8,standard,7,10000000,100,922.81858,0.003466796875,0.032998046875,10.43323569928537,10.433235699285593,113.91371267950483,113.91371267950993,inf,inf,1.8238096405635353,1.823809640563538,-inf,-inf,"[ 1.9859657   1.98728201  1.98855508  1.98802231  1.98779961  1.98835111
 -3.08835657]","[1.9859657032777522, 1.9872820088124992, 1.9885550827954381, 1.9880223095338674, 1.9877996136087652, 1.9883511085138807, -3.0883565659838443]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float4,standard,7,10000000,100,859.744414,0.0080859375,0.0361328125,10.433236864620504,10.433236157851095,113.91373810950553,113.91372278260036,inf,inf,1.823809658157823,1.8238096471998437,-inf,-inf,"[ 1.9859662  1.987282   1.9885544  1.9880238  1.9877995  1.9883513
 -3.0883572]","[1.9859662055969238, 1.9872820377349854, 1.9885543584823608, 1.9880235195159912, 1.9877995252609253, 1.9883511066436768, -3.0883569717407227]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float8,standard,8,10000000,100,1071.834205,0.0034765625,0.03263671875,11.707438333418963,11.707438333418425,142.69295747992672,142.69295747991308,inf,inf,1.8416181183429745,1.8416181183429692,-inf,-inf,"[ 1.91505477  1.91353708  1.91536254  1.91409413  1.9151431   1.913739
  1.91520227 -3.45086372]","[1.915054772885462, 1.9135370802300828, 1.9153625392499345, 1.914094126359397, 1.9151430975885473, 1.9137389982093775, 1.9152022666691555, -3.4508637164770795]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
float4,standard,8,10000000,100,945.579788,0.00810546875,0.037109375,11.707435801211028,11.707435342783418,142.6928959220006,142.6928848394055,inf,inf,1.8416180870393164,1.8416180812279108,-inf,-inf,"[ 1.9150544  1.9135364  1.9153628  1.9140937  1.9151429  1.9137385
  1.9152018 -3.4508626]","[1.9150543212890625, 1.9135364294052124, 1.9153625965118408, 1.914094090461731, 1.9151428937911987, 1.9137383699417114, 1.9152016639709473, -3.450862407684326]","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]"
