Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float4,standard,4,400,400,20,0.253332,0.04298828125,0.177060546875,1.4857295610058164e-05,1.108589690497573e-05,1.1036961642232679e-11,6.144855509387523e-12,1105.6788350000002,1105.6788
bfloat,standard,1,400,400,20,0.239485,0.042861328125,0.17833984375,15.457568123675966,0.5034972520887093,11.946820614904166,0.012675474143044064,1017.75,1088
bfloat,standard,2,400,400,20,0.189901,0.042783203125,0.177197265625,-1,-1,-1,-1,1082.2690693771,-1
bfloat,standard,3,400,400,20,0.180985,0.04279296875,0.178369140625,5.874069559267961,0.0475838892632684,1.725234659355925,0.00011321132587094947,106.39062,111.5
bfloat,standard,4,400,400,20,0.203062,0.0430078125,0.178583984375,0.9199911260528778,0.5034972520887093,0.042319183600802106,0.012675474143044064,1083.75,1088
float8,standard,1,900,900,30,0.222522,0.044130859375,0.179462890625,3.4518046167849885e-13,0.0,3.971651704152721e-27,0.0,3162.2495749764053,3162.2495749764043
float8,standard,2,900,900,30,0.228855,0.04380859375,0.17966796875,-1,-1,-1,-1,3162.249574976405,-1
float8,standard,3,900,900,30,0.15529,0.04279296875,0.17748046875,7.114600526996072,0.0,1.6872513552910928,0.0,216.96301532683748,221.41578138082605
float8,standard,4,900,900,30,0.173241,0.043212890625,0.1798046875,1.1718571004216928e-13,0.0,4.577496879362458e-28,0.0,3162.249574976405,3162.2495749764043
float4,standard,1,900,900,30,0.20402,0.04380859375,0.17775390625,0.0002772394772909641,3.342934964178379e-05,2.5620575922855666e-09,3.725071391575433e-11,3762.507324,3762.5073
float4,standard,2,900,900,30,0.281318,0.04359375,0.176640625,-1,-1,-1,-1,3762.507364612377,-1
float4,standard,3,900,900,30,0.220679,0.04279296875,0.1759765625,8.415357267050897,1.4624726136928673e-06,2.360607931070212,7.129420486005489e-14,249.7977105,243.81902
float4,standard,4,900,900,30,0.26532,0.043359375,0.177568359375,6.084658177794834e-05,3.342934964178379e-05,1.2341021713535183e-10,3.725071391575433e-11,3762.5073810000004,3762.5073
bfloat,standard,1,900,900,30,0.204403,0.04359375,0.17814453125,103.22809894443236,0.7686714591201815,355.20134705605057,0.01969519373553163,2600.0,3168
bfloat,standard,2,900,900,30,0.244754,0.04333984375,0.178427734375,-1,-1,-1,-1,3162.98186240938,-1
bfloat,standard,3,900,900,30,0.16224,0.04279296875,0.177880859375,7.13598704720861,0.06827162147396423,1.697410371264302,0.0001553671432894751,217.0,220
bfloat,standard,4,900,900,30,0.236637,0.04322265625,0.18083984375,2.5408992513689213,0.7686714591201815,0.21520563352023817,0.01969519373553163,3165.5,3168
float8,standard,1,1600,1600,40,0.204944,0.042861328125,0.178642578125,1.6072721695762417e-12,0.0,6.458309567735797e-26,0.0,8493.426295845724,8493.426295845724
float8,standard,2,1600,1600,40,0.366044,0.044052734375,0.1801171875,-1,-1,-1,-1,8493.426295845726,-1
