Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float8,standard,1,1600,1600,40,0.036456,0.002705078125,0.0318359375,1.467782491735688e-12,0.0,5.385963607614562e-26,0.0,8493.426295845724,8493.426295845724
float8,standard,2,1600,1600,40,0.147249,0.0066796875,0.035224609375,-1,-1,-1,-1,8493.426295845726,-1
float8,standard,3,1600,1600,40,0.010698,0.002529296875,0.031884765625,8.422803378376084,0.0,1.7735904187695894,0.0,421.95003634073726,431.81910316203937
float8,standard,4,1600,1600,40,0.008984,0.00263671875,0.031845703125,2.2914314707516465e-13,0.0,1.3126645462877636e-27,0.0,8493.426295845726,8493.426295845724
float4,standard,1,1600,1600,40,0.039723,0.0027734375,0.031875,0.0007544355001998657,5.6369033979819394e-05,1.4229323099045538e-08,7.943669979545083e-11,8493.42604,8493.426
float4,standard,2,1600,1600,40,0.115606,0.006748046875,0.035322265625,-1,-1,-1,-1,8493.426280479584,-1
float4,standard,3,1600,1600,40,0.012285,0.00259765625,0.032158203125,8.422803982200907,3.4274089328828093e-06,1.7735906730644864,2.9367829983012197e-13,421.95003399999996,431.8191
float4,standard,4,1600,1600,40,0.009062,0.002705078125,0.03236328125,0.00014078385242979625,5.6369033979819394e-05,4.955023276243661e-10,7.943669979545083e-11,8493.42614,8493.426
float8,standard,1,3600,3600,60,0.082295,0.00330078125,0.032666015625,6.3621474403338065e-12,0.0,6.746153342091001e-25,0.0,30108.13358590067,30108.13358590067
float8,standard,2,3600,3600,60,0.394961,0.019560546875,0.04490234375,-1,-1,-1,-1,30108.133585900672,-1
float8,standard,3,3600,3600,60,0.013473,0.0027734375,0.032431640625,13.688352952384427,0.0,3.1228501091508583,0.0,1003.9020252867479,1012.5202309489721
float8,standard,4,3600,3600,60,0.017323,0.002880859375,0.03248046875,8.507543922801099e-13,0.0,1.2063050599731654e-26,0.0,30108.133585900672,30108.13358590067
float4,standard,1,3600,3600,60,0.084816,0.00310546875,0.03212890625,0.0027964129078733345,0.00015003121707267704,1.303320858553433e-07,3.7515610160514566e-10,30108.131540000006,30108.133
float4,standard,2,3600,3600,60,0.322618,0.019365234375,0.044775390625,-1,-1,-1,-1,30108.13350601532,-1
float4,standard,3,3600,3600,60,0.007033,0.002705078125,0.03166015625,13.688351154684941,6.154610571864444e-06,3.1228492888994097,6.313205215217597e-13,1003.9019904999999,1012.5203
float4,standard,4,3600,3600,60,0.015999,0.0028125,0.032744140625,0.00044322224131716455,0.00015003121707267704,3.2740992533035144e-09,3.7515610160514566e-10,30108.13245,30108.133
float8,standard,1,4900,4900,70,0.123634,0.003779296875,0.033525390625,8.411289542479569e-12,0.0,1.0107113109632307e-24,0.0,39469.0125097012,39469.012509701184
float8,standard,2,4900,4900,70,0.569959,0.028232421875,0.054306640625,-1,-1,-1,-1,39469.012509701184,-1
float8,standard,3,4900,4900,70,0.014835,0.0029296875,0.032138671875,15.447918031581443,0.0,3.409116735863701,0.0,1103.5682220609224,1115.0334562769478
float8,standard,4,4900,4900,70,0.019114,0.003037109375,0.033095703125,1.374858882450988e-12,0.0,2.7003384952205425e-26,0.0,39469.012509701184,39469.012509701184
float4,standard,1,4900,4900,70,0.132457,0.0037109375,0.0325,0.005480100414133893,0.00023435871908568072,4.2902143641414943e-07,7.846287030211574e-10,39469.0021,39469.01
float4,standard,2,4900,4900,70,0.443411,0.0281640625,0.054306640625,-1,-1,-1,-1,39469.01253118838,-1
