Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,DuckDB-L2-Norm,Tensorflow-L2-Norm,DuckDB-MSE,Tensorflow-MSE,DuckDB-Sum,Tensorflow-Sum
double,kahan,4,3600,3600,60,0.02804,0.002294921875,0.043779296875,5.115907697472721e-13,0.0,4.362085261510107e-27,0.0,29534.18489522527,29534.18489522527
float,standard,1,3600,3600,60,0.056155,0.0025,0.04373046875,0.0030138923540294735,0.00012894641893310517,1.5139245202795532e-07,2.7711964926119776e-10,29534.18416,29534.184
float,kahan,1,3600,3600,60,0.057847,0.0025,0.042919921875,9.411561331698635e-05,0.00012894641893310517,1.4762914450054165e-10,2.7711964926119776e-10,29534.184979999998,29534.184
float,standard,2,3600,3600,60,0.865023,0.002392578125,0.03599609375,-1,-1,-1,-1,28863.900695550936,-1
float,kahan,2,3600,3600,60,0.935645,0.002392578125,0.0360546875,-1,-1,-1,-1,28863.900695550936,-1
float,standard,3,3600,3600,60,0.039052,0.002216796875,0.04134765625,15.111435777282152,5.303339486714217e-06,3.805924854182051,4.687568285223703e-13,983.5329885,997.5119
float,kahan,3,3600,3600,60,0.035,0.002216796875,0.040849609375,15.111434096207626,5.303339486714217e-06,3.80592400740044,4.687568285223703e-13,983.5330044999998,997.5119
float,standard,4,3600,3600,60,0.03475,0.00228515625,0.042919921875,0.0004341045654768632,0.00012894641893310517,3.140779562797603e-09,2.7711964926119776e-10,29534.18411,29534.184
float,kahan,4,3600,3600,60,0.038673,0.002294921875,0.045712890625,9.821960606130476e-05,0.00012894641893310517,1.6078485024729824e-10,2.7711964926119776e-10,29534.185059999996,29534.184
bfloat,standard,1,3600,3600,60,0.100521,0.002470703125,0.047431640625,2104.293192660457,6.018509396887625,73800.83067795231,0.6037075893404107,13280.0,29568
bfloat,kahan,1,3600,3600,60,0.07514,0.002470703125,0.042783203125,6.055522859257721,6.018509396887625,0.61115595164988,0.6037075893404107,29528.0,29568
bfloat,standard,2,3600,3600,60,1.302503,0.00236328125,0.0357421875,-1,-1,-1,-1,28867.57622627651,-1
bfloat,kahan,2,3600,3600,60,0.995477,0.00236328125,0.037001953125,-1,-1,-1,-1,28867.57622627651,-1
bfloat,standard,3,3600,3600,60,0.03402,0.0021875,0.046494140625,15.104536439021729,0.22424107273880145,3.8024503506289196,0.0008380676450508073,983.125,1000
bfloat,kahan,3,3600,3600,60,0.041402,0.0021875,0.041494140625,15.110985144112577,0.22424107273880145,3.805697867093184,0.0008380676450508073,983.75,1000
