Type,Aggregation,Statement,Matrix_A,Matrix_B,Vector_V,Execution,Heap,RSS,Database-L2-Norm,Tensorflow-L2-Norm,Database-MSE,Tensorflow-MSE,Database-Sum,Tensorflow-Sum
float,standard,3,3600,3600,60,0.262208,0.017744140625,0.2558203125,13.688352952384406,6.154610571864444e-06,3.122850109150848,6.313205215217597e-13,1003.9020252867479,1012.5203
float,standard,4,3600,3600,60,0.262894,0.01974609375,0.256962890625,2.3806469006753928e-12,0.00015003121707267704,9.44579944282559e-26,3.7515610160514566e-10,30108.133585900672,30108.133
float8,standard,1,4900,4900,70,0.211286,0.01990234375,0.25515625,2.9443574104493267e-12,0.0,1.238462937209695e-25,0.0,39469.01250970118,39469.012509701184
float8,standard,2,4900,4900,70,0.259639,0.0175390625,0.252021484375,-1,-1,-1,-1,39469.012509701184,-1
float8,standard,3,4900,4900,70,0.217399,0.017431640625,0.25322265625,15.44791803158149,0.0,3.409116735863722,0.0,1103.5682220609228,1115.0334562769478
float8,standard,4,4900,4900,70,0.234855,0.020361328125,0.2565234375,2.492698962360089e-12,0.0,8.87649730993009e-26,0.0,39469.01250970118,39469.012509701184
float,standard,1,4900,4900,70,0.206564,0.01986328125,0.255986328125,2.9836027060834363e-12,0.00023435871908568072,1.271697872535486e-25,7.846287030211574e-10,39469.012509701184,39469.01
float,standard,2,4900,4900,70,0.271183,0.017529296875,0.25169921875,-1,-1,-1,-1,39469.01250970118,-1
float,standard,3,4900,4900,70,0.224818,0.017607421875,0.25369140625,15.44791803158147,5.710357112710995e-06,3.409116735863713,4.658311193527007e-13,1103.568222060923,1115.0333
float,standard,4,4900,4900,70,0.251738,0.02017578125,0.25634765625,2.445588593707152e-12,0.00023435871908568072,8.544147956672178e-26,7.846287030211574e-10,39469.01250970118,39469.01
float8,standard,1,6400,6400,80,0.209865,0.02005859375,0.25482421875,1.4204941769491848e-11,0.0,2.5222546334331774e-24,0.0,63866.72358626124,63866.72358626123
float8,standard,2,6400,6400,80,0.279272,0.017783203125,0.253251953125,-1,-1,-1,-1,63866.72358626123,-1
float8,standard,3,6400,6400,80,0.230868,0.017626953125,0.253583984375,19.224842089568074,0.0,4.619931917110352,0.0,1585.7152996181394,1592.808825469376
float8,standard,4,6400,6400,80,0.211245,0.020615234375,0.258408203125,2.920667743334236e-12,0.0,1.0662875083691372e-25,0.0,63866.72358626123,63866.72358626123
float,standard,1,6400,6400,80,0.238101,0.020087890625,0.259111328125,1.446059037224937e-11,0.0002776815331372615,2.6138584239248897e-24,9.638379230682506e-10,63866.72358626123,63866.727
float,standard,2,6400,6400,80,0.222733,0.017822265625,0.25283203125,-1,-1,-1,-1,63866.723586261236,-1
float,standard,3,6400,6400,80,0.218761,0.017685546875,0.2534765625,19.22484208956809,8.284954262627431e-06,4.619931917110359,8.580058391728554e-13,1585.7152996181394,1592.8088
float,standard,4,6400,6400,80,0.212513,0.020830078125,0.25802734375,2.9798098744507015e-12,0.0002776815331372615,1.1099083609842384e-25,9.638379230682506e-10,63866.72358626123,63866.727
float8,standard,1,8100,8100,90,0.165893,0.020625,0.25935546875,1.373259825979844e-11,0.0,2.0953806107224354e-24,0.0,86938.66788235407,86938.66788235404
float8,standard,2,8100,8100,90,0.262916,0.0180859375,0.254404296875,-1,-1,-1,-1,86938.66788235404,-1
float8,standard,3,8100,8100,90,0.163147,0.018154296875,0.257275390625,18.57985145906219,0.0,3.835676447120172,0.0,1919.1616193313723,1926.5276115046966
float8,standard,4,8100,8100,90,0.23968,0.021689453125,0.258330078125,1.3500521400939713e-11,0.0,2.025156423302569e-24,0.0,86938.66788235407,86938.66788235404
float,standard,1,8100,8100,90,0.236066,0.020615234375,0.257431640625,1.3731186433582706e-11,0.0003446666306266644,2.0949497874867307e-24,1.3199454029726393e-09,86938.66788235407,86938.664
float,standard,2,8100,8100,90,0.274216,0.018046875,0.254072265625,-1,-1,-1,-1,86938.66788235403,-1
float,standard,3,8100,8100,90,0.202341,0.01810546875,0.25640625,18.57985145906218,8.731546023198721e-06,3.835676447120166,8.471099550581933e-13,1919.161619331372,1926.5277
float,standard,4,8100,8100,90,0.224997,0.021513671875,0.258330078125,1.354353354312064e-11,0.0003446666306266644,2.03808112037371e-24,1.3199454029726393e-09,86938.66788235407,86938.664
float8,standard,1,10000,10000,100,0.215896,0.02568359375,0.267236328125,2.91322383019123e-11,0.0,8.486873084794064e-24,0.0,116961.79126725621,116961.79126725622
float8,standard,2,10000,10000,100,0.238993,0.023583984375,0.26953125,-1,-1,-1,-1,116961.79126725622,-1
float8,standard,3,10000,10000,100,0.210111,0.018232421875,0.2539453125,21.230207556686555,0.0,4.507217128999909,0.0,2348.704168519197,2351.674795046078
float8,standard,4,10000,10000,100,0.267345,0.02265625,0.258076171875,2.9365554457332e-11,0.0,8.623357885865314e-24,0.0,116961.79126725622,116961.79126725622
float,standard,1,10000,10000,100,0.255401,0.02560546875,0.26669921875,2.929791642055269e-11,0.0005386746959855372,8.58367906585691e-24,2.9017042809511093e-09,116961.7912672562,116961.805
float,standard,2,10000,10000,100,0.27683,0.023759765625,0.268037109375,-1,-1,-1,-1,116961.79126725627,-1
float,standard,3,10000,10000,100,0.228296,0.018291015625,0.257177734375,21.23020755668658,1.060949584836174e-05,4.507217128999919,1.1256140215640503e-12,2348.7041685191966,2351.6748
float,standard,4,10000,10000,100,0.225431,0.022568359375,0.260244140625,2.9210217422135836e-11,0.0005386746959855372,8.53236801848448e-24,2.9017042809511093e-09,116961.79126725621,116961.805
float8,standard,1,40000,40000,200,0.28516,0.022099609375,0.262119140625,4.1063962762012807e-10,0.0,8.431245188599873e-22,0.0,1032059.7605088489,1032059.760508849
float8,standard,2,40000,40000,200,0.544945,0.022138671875,0.267216796875,-1,-1,-1,-1,1032059.7605088488,-1
float8,standard,3,40000,40000,200,0.232987,0.020517578125,0.26294921875,49.43977639015251,0.0,12.22145744754141,0.0,10348.096612408575,10422.724457937318
float8,standard,4,40000,40000,200,0.217434,0.041005859375,0.259560546875,5.3698711486960786e-11,0.0,1.4417758076799272e-23,0.0,1032059.7605088493,1032059.760508849
float,standard,1,40000,40000,200,0.244145,0.022265625,0.2624609375,4.155733988486977e-10,1.068583527160455,8.635062491532939e-22,0.005709353772593394,1032059.7605088488,1032058.25
float,standard,2,40000,40000,200,0.586403,0.022109375,0.26669921875,-1,-1,-1,-1,1032059.7605088485,-1
float,standard,3,40000,40000,200,0.234893,0.02056640625,0.2621484375,49.439776390152545,4.7062191942294155e-05,12.221457447541425,1.1074249552066683e-11,10348.096612408575,10422.725
float,standard,4,40000,40000,200,0.225798,0.0412109375,0.263642578125,5.2758532591808676e-11,1.068583527160455,1.391731380620469e-23,0.005709353772593394,1032059.7605088493,1032058.25
float8,standard,1,90000,90000,300,0.256574,0.02669921875,0.2865625,1.6009442328569744e-09,0.0,8.543408122393355e-21,0.0,3337903.8796829283,3337903.8796829283
float8,standard,2,90000,90000,300,1.576933,0.02625,0.291806640625,-1,-1,-1,-1,3337903.87968294,-1
float8,standard,3,90000,90000,300,0.311371,0.0212109375,0.2633203125,72.59760758836599,0.0,17.568042091847918,0.0,22189.01304888481,22177.40089896878
float8,standard,4,90000,90000,300,0.256037,0.067216796875,0.26162109375,5.048473931197812e-10,0.0,8.495696344661296e-22,0.0,3337903.8796829293,3337903.8796829283
float,standard,1,90000,90000,300,0.351306,0.02611328125,0.2868359375,1.6709989506815679e-09,2.4951079171836326,9.307458310596335e-21,0.020751878394641484,3337903.8796829293,3337895.5
float,standard,2,90000,90000,300,1.718488,0.026201171875,0.2918359375,-1,-1,-1,-1,3337903.87968292,-1
